мало (ли) SCONJ Cl,Мало (ли) чего он попросит!,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
найти-Past NP-Acc!,Нашли развлечение!,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
не VP-Inf же!,не уезжать же домой!,"Assessment Negative Конструкция используется для того, чтобы через отрицание показать, какое действие наименее приемлемо в сложившейся ситуации. Говорящий ожидает выполнить иное действие. Частица ""же ставится сразу после [основного глагола]Action.",,,,,Clause,Clause,,,,,,,,,,,,,,,,
ну и NP-Nom!,ну и ночь!,I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
ну/так уж (и) Cl,Ну уж пошел!,,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
ох и AP-Short NP-Nom,ох и умны девушки!,Add Intensity,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
ох уж этот NP-Nom!,ох уж этот хулиган!,Add Intensity,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
рассказывай Cl,"рассказывай, не было денег!",Discourse Attitude Reaction on the previous discourse,,,,,Clause,Clause,,,,,,,,,,,,,,,,
"смотреть-Imper, не VP-Imper","смотрите, не опоздайте!",Activity Prohibition Apprehension Causation,,,,,Clause,Clause,,,,,,,,,,,,,,,,
так бы (и) VP,так бы и убила его!,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
так я (тебе) и VP!,так я тебе и пошел!,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
хороший-Short NP-Nom!,Хорош учёный!,Add Negative,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
чего тут VP-Inf,чего тут думать!,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
чёрт с Pron-Ins,Чёрт с ним! Поеду в город один!,"I agree OR Modal exclamation Пока нет в списке: ""Шут с ним""",Characteristics,Attitude,,Assessment,Clause,Clause,,,,,,,,,,,,,,,,
что Pron-Nom устроить,Что ты устроил! Почему вокруг грязь?,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
чтоб Pron-Nom VP-Past.Perf!,чтоб он пропал!,"Activity Threat Damnation Угроза, проклятие",,,,,Clause,Clause,,,,,,,,,,,,,,,,
чтоб(ы) Pron VP-Past!,чтоб он провалился!,"Activity Threat Damnation Угроза, проклятие",,,,,Clause,Clause,,,,,,,,,,,,,,,,
чтоб(ы) Pron-Nom V-Past!,Чтобы он опоздал! Он всегда выходит вовремя.,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
чтобы NP-Gen NP/Adv не было,чтобы животных здесь не было!,I agree,Activity,Prohibition,,,Clause,Clause,,,,,,,,,,,,,,,,
я Pron-Dat VP-Fut!,я тебе поору!,I agree,Activity,Threat,,,Clause,Clause,,,,,,,,,,,,,,,,
Adv Pron-Dat,Смешно ему!,I agree,Activity,Threat,,,Clause,Clause,,,,,,,,,,,,,,,,
c NP-Ins (NP-Acc),c Новым годом!,Wish or Well-wishing or Kind wishes,,,,,Clause,Clause,,,,,,,,,,,,,,,,
"INTJ, как Adv!",ой как страшно!,"Discourse Reaction to a previous discourse Assessment Конструкция используется для выражения [эмоциональной реакции]Evaluation говорящего на [некоторую ситуацию]Situation . Встречается только в разговорной речи. ― [ [Ах]Actant, [как]как [хорошо]Evaluation ]INTJ,_как_Adv!, [что это вы]Situation ! Я вас ждал весь вечер!",,,,,Clause,Clause,,,,,,,,,,,,,,,,
"INTJ, какой (Adj-Nom) (NP-Nom)!","ой, какой горячий (хлеб)!","Characteristics Assessment Intensity Конструкция выражает [эмоциональную реакцию]Evaluation говорящего на [некоторую ситуацию или объект]Stimulus . Упоминание [объекта]Stimulus или [характеристики]Evaluation можно опустить, если он понятен из контекста. Встречается только в разговорной речи. EXAMPLES: [ [Ах]Actant, [какая]какой [красота]Stimulus ]INTJ,_какой_(Adj-Nom)_(NP-Nom)! сияла вокруг: море, солнце, цветы. Торговец удивился и сказал: ― [ [Ай]Actant, [какой]какой [глупый]Evaluation ]INTJ,_какой_(Adj-Nom)_(NP-Nom)! !",,Intensity,,,Clause,Clause,,,,,,,,,,,,,,,,
Noun-то!,усищи-то!,Add Intensity,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Dat ли не VP-Inf,тебе ли не радоваться!,"Activity Causation Indirect Similar to 477 Конструкция выражает уверенность говорящего в том, что [некоторый участник]Experiencer уже знает о [сложившейся ситуации]Situation или [испытывает по этому поводу определенные чувства]Activity. NOT VERY PRESICE DESCRIPTION",,,,,Clause,Clause,,,,,,,,,,,,,,,,Negation
NP-Gen!,Спокойной ночи!,Wish or Well-wishing or Kind wishes,,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Nom называется,Молока не дает. Корова называется!,"Characteristics Assessment Negative Categorisation Конструкция] используется для выражения разочарования: [субъект]Theme под каким-либо особенным названием не способен выполнить действие, которое входит в его функционал, согласно общепринятым ожиданиям. Ты меня так подвела! А еще [ [подруга]Theme [называется]называется ]NP-Nom_называется!",,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Nom NP-Dat показать-VP-Fut!,я тебе покажу!,"I agree. Нет в списке, но еще существует Pro_Pro-Dat_устрою ""Я тебе устрою"", еще есть в нашем списке ""Я тебе поору!"" ",Activity,Threat,,,Clause,Clause,,,,,,,,,,,,,,,,
Pron-Nom Pron-Dat дать VP-Inf!,Я тебе дам так себя вести!,"I agree. Нет в списке, но еще существует Pro_Pro-Dat_дам_Inf ",Activity,Threat,,,Clause,Clause,,,,,,,,,,,,,,,,
S вот ещё!,Да ты влюблена в него! - Вот ещё!,Discourse Attitude Reaction on a previous discourse,,,,,Clause,Clause,,,,,,,,,,,,,,,,
S ещё бы (S)!,Хочешь чаю? Ещё бы!,"Discourse Reaction to a previous discourse Emphasis Intensity Attitude Конструкция обозначает, что говорящий принимает положительный или позитивный ответ на какое-то [предложение]Situation или подтверждает слова другого участника и по поводу которого он может привести [дополнительные аргументы]Theme. EXAMPLE [ [-Да захочет ли он прийти к нам?]Situation — [Ещё]ещё [бы]бы! [Он очень будет рад.]Theme ]S_ещё_бы_(S)!",,,,,Clause,Clause,,,,,,,,,,,,,,,,
VP-Imper давай,ешь давай!,Activity Causation Direct,,,,,Clause,Clause,,,,,,,,,,,,,,,,
